Position,english_level,years_experience,cv_text,highlights,looking_for,additional_info
2D Animator,Not stated,1.0,"Hello, I am a beginner 2d animator. I took a course in 2D Spine animation from the wonderful ""Kate motion academy"". After finishing this course, I started creating illustrations and animated them in the last half of the year. I have experience in preparing images for animation. I know how to set up almost 3D animation in 2D. I have experience in creating character animations, building objects, walking animations. I am looking for a company in which I will work on an ongoing basis or part-time, where I can develop and work on interesting projects with great guys. Ready to learn something new.",Not stated,"I am looking for a company in which I will work on an ongoing basis or part-time, where I can develop and work on interesting projects with great guys. Ready to learn something new.","Hello, I am a beginner 2d animator. I took a course in 2D Spine animation from the wonderful ""Kate motion academy"". After finishing this course, I started creating illustrations and animated them in the last half of the year. I have experience in preparing images for animation. I know how to set up almost 3D animation in 2D. I have experience in creating character animations, building objects, walking animations."
2D Animator,Intermediate,0.5,"I created a 5-minute short cartoon about Space for children. (You can view it in my portfolio on Behance.) And I got 99 out of 100 points in my diploma defense. :) Hii. I like the combination of creativity and technology as it is in animation. You can move the whole world :) It's magic 🪄 I can create a character for you, an environment and animate them.",I created a 5-minute short cartoon about Space for children. (You can view it in my portfolio on Behance.) And I got 99 out of 100 points in my diploma defense. :),Not stated,"Hii. I like the combination of creativity and technology as it is in animation. You can move the whole world :) It's magic 🪄 I can create a character for you, an environment and animate them."
2D Animator,Intermediate,2.0,"I have been doing animation for half a year, skills include logo animation, corporate videos, advertising animations, animation for social networks, your personal wishes",Not stated,Not stated,"I have been doing animation for half a year, skills include logo animation, corporate videos, advertising animations, animation for social networks, your personal wishes"
2D Animator,Not stated,7.0,"I have been working in the game industry as a 2D animator for seven years. Work in After Effects and Spine, I like to animate characters. I made animations not only characters, but also animations of features, pop-ups, backgrounds. Before that, I worked in post-production, doing compositing and rotoscoping for commercials and films. Worked at Nuke, Mocha and Silhouette. Took drawing courses on a tablet at the ArtCraft studio. I learn quickly, I love my job, I want to continue to develop learn new design programs and improve my skills in the programs in which i work.",Not stated,Not stated,"I have been working in the game industry as a 2D animator for seven years. Work in After Effects and Spine, I like to animate characters. I made animations not only characters, but also animations of features, pop-ups, backgrounds. Before that, I worked in post-production, doing compositing and rotoscoping for commercials and films. Worked at Nuke, Mocha and Silhouette. Took drawing courses on a tablet at the ArtCraft studio. I learn quickly, I love my job, I want to continue to develop learn new design programs and improve my skills in the programs in which i work."
2D Animator,Basic,1.0,"I’ve been working for over a year now in Motion Graphic Animation and 2D Animation (Cut Out, Moho Pro, Adobe After Effects) I’m also familiar with Spine 2D but lack of work experience in it. My primary goal in my career as a 2D Animator, is to improve the quality of the animation and to learn 3D animation as well.",Not stated,Not stated,"I’ve been working for over a year now in Motion Graphic Animation and 2D Animation (Cut Out, Moho Pro, Adobe After Effects) I’m also familiar with Spine 2D but lack of work experience in it. My primary goal in my career as a 2D Animator, is to improve the quality of the animation and to learn 3D animation as well."
2D Animator,Intermediate,7.0,"I worked as Motion Designer since Mar 2016 to Dec 2017 in Lime-Line studio. Lime-Line was company that created explainer and promo videos, also videoshooting for different events like conferences. • I was responsible for creating storyboards • Creating and preparing graphics for animation • Creating of animation • Videoediting • Also i worked on characters animation in Cinema4d a little From Jan 2018 to Apr 2023 I worked as 2dAnimator in FgFactory. FgFactory is a software development and art agency that provides services to game developers, media companies, and other organizations. My responsibilities were: • Creation of animation for characters, backgrounds, vfx for UI elements and game objects • Communication with a 2d artist to properly prepare graphics for animation • Preparing exports and assets for developers • In 2022, I became a team-lead and controlled the quality of the animation we made for our clients and supervised junior animators",Not stated,Not stated,"I worked as Motion Designer since Mar 2016 to Dec 2017 in Lime-Line studio. Lime-Line was company that created explainer and promo videos, also videoshooting for different events like conferences. • I was responsible for creating storyboards • Creating and preparing graphics for animation • Creating of animation • Videoediting • Also i worked on characters animation in Cinema4d a little From Jan 2018 to Apr 2023 I worked as 2dAnimator in FgFactory. FgFactory is a software development and art agency that provides services to game developers, media companies, and other organizations. My responsibilities were: • Creation of animation for characters, backgrounds, vfx for UI elements and game objects • Communication with a 2d artist to properly prepare graphics for animation • Preparing exports and assets for developers • In 2022, I became a team-lead and controlled the quality of the animation we made for our clients and supervised junior animators"
2D Animator,Not stated,11.0,"More than 10 years of animation experience in the Gamedev and film industry. - Spine 2D - After Effects - Rive, Lottie - Adobe Animate (Flash) - Toon Boom Harmony Participated in game projects for well-known companies such as Playrix, Aglet, Big Fish Games, Fabros, Playtika, Chess.com, and Foxbear Games. As an animation generalist, able to adjust to a variety of animation projects to meet clients' needs.",Not stated,Not stated,"More than 10 years of animation experience in the Gamedev and film industry. - Spine 2D - After Effects - Rive, Lottie - Adobe Animate (Flash) - Toon Boom Harmony Participated in game projects for well-known companies such as Playrix, Aglet, Big Fish Games, Fabros, Playtika, Chess.com, and Foxbear Games. As an animation generalist, able to adjust to a variety of animation projects to meet clients' needs."
2D Animator,Intermediate,1.0,"Participated in the creation of NFT game ""War of Trolls"". All animation of each character, their interaction, battles on arena - it's my work. worked with ux design, developed effects and implemented in the browser through html, css Took an active part in testing, solving technical problems and finalizing game mechanics. war-of-trolls.io Character animation in Spine 2D. FX, UI and background animation. Video editing.",Not stated,"Character animation in Spine 2D. FX, UI and background animation. Video editing.","Participated in the creation of NFT game ""War of Trolls"". All animation of each character, their interaction, battles on arena - it's my work. worked with ux design, developed effects and implemented in the browser through html, css Took an active part in testing, solving technical problems and finalizing game mechanics. war-of-trolls.io"
2D Animator,Intermediate,5.0,"Work on game/learning kids project from very beginning to release (started as trainee, ended-up as techlead), Practical experience of using Unity3d: Character rigging, reskinning, animation; State-machine for characters, UI, windows, different objects; Particle System: VFX of leaves, dust, bombs, shinings, water, explosions, magic fx in gameplays etc; UI and puzzle mechanics animation: match3, merge, find 10 obj., farm, hidden objects; Cutscene animations with 3d characters and 2d environment (cooperation with 3d animators); UI event windows animation, building UI according mockups; Trainees mentoring, assisting animators team, manage animation production; Task estimation, skill-sharing meetings, creating pipelines documentation. Non-commercial experience in Spine: rigging, character animation, ui windows animation Freelance experience: NFT character animation, FX (Particle System), video editing (After Effects) Mobile games (Casual, puzzle, platformers, adventure)","Work on game/learning kids project from very beginning to release (started as trainee, ended-up as techlead),","Mobile games (Casual, puzzle, platformers, adventure)","Practical experience of using Unity3d: Character rigging, reskinning, animation; State-machine for characters, UI, windows, different objects; Particle System: VFX of leaves, dust, bombs, shinings, water, explosions, magic fx in gameplays etc; UI and puzzle mechanics animation: match3, merge, find 10 obj., farm, hidden objects; Cutscene animations with 3d characters and 2d environment (cooperation with 3d animators); UI event windows animation, building UI according mockups; Trainees mentoring, assisting animators team, manage animation production; Task estimation, skill-sharing meetings, creating pipelines documentation. Non-commercial experience in Spine: rigging, character animation, ui windows animation Freelance experience: NFT character animation, FX (Particle System), video editing (After Effects)"
2D Animator,Intermediate,2.0,"- Rigging Characters in Moho for «Ice Molly» project - Creating Walk Cycles for Characters. Creating Actions for Cycles; - Creating Rigs in Spine. Creating Animation in Spine. - Creating different types of 2d art (icons, props, environment elements, cartoon characters with line/shape); I'd like to enhance my 2D Animation skills.",Not stated,Not stated,"- Rigging Characters in Moho for «Ice Molly» project - Creating Walk Cycles for Characters. Creating Actions for Cycles; - Creating Rigs in Spine. Creating Animation in Spine. - Creating different types of 2d art (icons, props, environment elements, cartoon characters with line/shape); I'd like to enhance my 2D Animation skills."
2D Animator,Advanced,3.0,"Here is my portfolio: https://readymag.com/u66498178/portfolio I`ve worked as a slots artist for games in casino style, animated characters for fighting platformer game and created a bunch of movies! - 2D artist and animator for games. - Experience 3+ years - Excellent knowledge of Moho, Spine and After Effects for animation - Excellent knowledge of Photoshop, Illustrator for 2d raster and vector art - ZBrush, 3dsMax, Maya basic knowledge - Bachelor of Fine Arts - 4 years working as a Designer (creating brands identity, advertising) - I am aspired to create great games - I enjoy creating characters, backgrounds, UI, and animation - Flexible schedule is preferable for me","Here is my portfolio: https://readymag.com/u66498178/portfolio I`ve worked as a slots artist for games in casino style, animated characters for fighting platformer game and created a bunch of movies!","- I am aspired to create great games - I enjoy creating characters, backgrounds, UI, and animation - Flexible schedule is preferable for me","- 2D artist and animator for games. - Experience 3+ years - Excellent knowledge of Moho, Spine and After Effects for animation - Excellent knowledge of Photoshop, Illustrator for 2d raster and vector art - ZBrush, 3dsMax, Maya basic knowledge - Bachelor of Fine Arts - 4 years working as a Designer (creating brands identity, advertising)"
2D Animator,Not stated,5.0,"Hi! I am an illustrator, animator and a graduate specialist in the field of graphic design. Work experience in the field of graphic design and illustration for more than 4 years and animation for about 2 years. Familiar with many graphic editors, such as: Adobe After Effects, Adobe Photoshop, Adobe Illustrator, Adobe Character Animator, Adobe Premiere Pro. But I mainly work on the iPad in the Procreate program. Familiar with various types of animation. Therefore, I will gladly help you with the project.",Not stated,Not stated,"Hi! I am an illustrator, animator and a graduate specialist in the field of graphic design. Work experience in the field of graphic design and illustration for more than 4 years and animation for about 2 years. Familiar with many graphic editors, such as: Adobe After Effects, Adobe Photoshop, Adobe Illustrator, Adobe Character Animator, Adobe Premiere Pro. But I mainly work on the iPad in the Procreate program. Familiar with various types of animation. Therefore, I will gladly help you with the project."
2D Animator,Intermediate,4.0,"I've been working in the Toon Boom Harmony program for over four years. Professionally engaged in the creation of Riggs 2D characters, of any complexity. Worked as a rigger and animator at several studios. The last studio I worked at was StoryBox Studios, where I was a 2D rigger and animator. Created over 20 character rigs for their project. Worked on the same team with Matt Watts.",Not stated,Not stated,"I've been working in the Toon Boom Harmony program for over four years. Professionally engaged in the creation of Riggs 2D characters, of any complexity. Worked as a rigger and animator at several studios. The last studio I worked at was StoryBox Studios, where I was a 2D rigger and animator. Created over 20 character rigs for their project. Worked on the same team with Matt Watts."
2D Animator,Intermediate,4.0,"Create animation for casual games cutting and correcting art for animation, optimization ,training events for colleagues. Scriptwriter and animate misslid cut scenes for a hyper-casual project, layout and animation UI elements for game. Creation animation at all stages slot projects, backgrounds, characters, mechanics, UI, symbols and effects, support and optimization assets. Creation promo videos for advertising games. Working on a 3D cartoon. I definitely don't want to do Unity animation",Not stated,I definitely don't want to do Unity animation,"Create animation for casual games cutting and correcting art for animation, optimization ,training events for colleagues. Scriptwriter and animate misslid cut scenes for a hyper-casual project, layout and animation UI elements for game. Creation animation at all stages slot projects, backgrounds, characters, mechanics, UI, symbols and effects, support and optimization assets. Creation promo videos for advertising games. Working on a 3D cartoon."
2D Animator,Intermediate,1.5,"Creative and self-motivated 2d-animator and with experience in creating character animations, explainer videos, infographic, typography, logo animation. Strong knowledge of composition, color theory, anatomy. Know and use 12 principles of animation. • 2d vector-based animation • Frame-by-frame animation • character animation • rigging (DuikBassel, Joystick & sliders) • hand draw skills • free drawing on graphics tablet • team player and fast-leaner Software: • Adobe After Effects • Adobe Animate • Illustrator • basic knowledge of ToonBoom (still learning) I want to gain more experience as 2d Animator & motion designer. I would like to work as a part of a friendly and strong team and be able to gain knowledge through collaboration.",Not stated,I want to gain more experience as 2d Animator & motion designer. I would like to work as a part of a friendly and strong team and be able to gain knowledge through collaboration.,"Creative and self-motivated 2d-animator and with experience in creating character animations, explainer videos, infographic, typography, logo animation. Strong knowledge of composition, color theory, anatomy. Know and use 12 principles of animation. • 2d vector-based animation • Frame-by-frame animation • character animation • rigging (DuikBassel, Joystick & sliders) • hand draw skills • free drawing on graphics tablet • team player and fast-leaner Software: • Adobe After Effects • Adobe Animate • Illustrator • basic knowledge of ToonBoom (still learning)"
2D Animator,Not stated,4.0,4+ years experience as 2D artist and animator 2+ years experience in Game dev industry 1 year as indie Experience in: - Spine animation - Animation from idea to final render - Character design and animation - Props animations - VFX in Spine and After Effects - Frame by frame animations - Storyboarding - Mentoring animators Software experience and skills in: - Spine 2D - Adobe After Effects - Adobe Photoshop - Adobe Illustrator - Dragon Bones - Figma - Blender 3D,Not stated,Not stated,4+ years experience as 2D artist and animator 2+ years experience in Game dev industry 1 year as indie Experience in: - Spine animation - Animation from idea to final render - Character design and animation - Props animations - VFX in Spine and After Effects - Frame by frame animations - Storyboarding - Mentoring animators Software experience and skills in: - Spine 2D - Adobe After Effects - Adobe Photoshop - Adobe Illustrator - Dragon Bones - Figma - Blender 3D
2D Animator,Intermediate,8.0,"I'm 29 years old and now I am living in Poland, Warszawa and search a good variants of full time remote job. Also consider a part time job. I have 8 years experience of making HTML/CSS 2D Animation using Google Web Designer program. I've make a magic using ready-made layouts in PSD format and picture assets. Whole time I made banners and the last 3 years I've made animated CLM presentations which can integrated in many CRM platforms. I am not a designer, I just can edit layouts.",Not stated,"I am not a designer, I just can edit layouts.","I'm 29 years old and now I am living in Poland, Warszawa and search a good variants of full time remote job. Also consider a part time job. I have 8 years experience of making HTML/CSS 2D Animation using Google Web Designer program. I've make a magic using ready-made layouts in PSD format and picture assets. Whole time I made banners and the last 3 years I've made animated CLM presentations which can integrated in many CRM platforms."
2D Animator,Intermediate,6.0,"Hello, my name is Denis. I do 2D animation and vector graphics. Participated in the creation of graphics for public events. I also have experience in compositing, took part in the work on TV series, films and clips. People with whom I had to work usually spoke of me as an energetic, responsible and reliable partner. I will be glad to cooperate! - Rototscoping, keying, tracking - Color correction - VFX - Compositing - Cleanup - Motion design",Not stated,Not stated,"Hello, my name is Denis. I do 2D animation and vector graphics. Participated in the creation of graphics for public events. I also have experience in compositing, took part in the work on TV series, films and clips. People with whom I had to work usually spoke of me as an energetic, responsible and reliable partner. I will be glad to cooperate! - Rototscoping, keying, tracking - Color correction - VFX - Compositing - Cleanup - Motion design"
2D Animator,Not stated,0.5,Characters animation for romantic games Object animation Slots animation Background animation Effective cooperation with team (art team) Decision maker starting from concept to project release Presents the projects to management Team and conflict management Actors casting Work with producers and designers on design for concepts and videos Team management (10 - 60 people) Timing shooting Estimation of scope,Not stated,Not stated,Characters animation for romantic games Object animation Slots animation Background animation Effective cooperation with team (art team) Decision maker starting from concept to project release Presents the projects to management Team and conflict management Actors casting Work with producers and designers on design for concepts and videos Team management (10 - 60 people) Timing shooting Estimation of scope
2D Animator,Not stated,0.5,"I ended 4 month course about 2d animation in Spine headed by Katerina Mogilko, former senior 2d animator in Whaleapp company (Kiyv). That course covered such themes: 1. Spine tools and Interface. 2. Animation of flowing textures (offset, overlapping), pseudo 3D effect, portrait animation (idle and dynamics, emotions), animation of walking, jumping, VFX effects. 3. Rig of characters and objects, complex bone connections, masks and skins, work optimization. 3. 12 principles of animation I’d like to work with Spine 2d, but I also ready to learn other softs in the process",Not stated,"I’d like to work with Spine 2d, but I also ready to learn other softs in the process","I ended 4 month course about 2d animation in Spine headed by Katerina Mogilko, former senior 2d animator in Whaleapp company (Kiyv). That course covered such themes: 1. Spine tools and Interface. 2. Animation of flowing textures (offset, overlapping), pseudo 3D effect, portrait animation (idle and dynamics, emotions), animation of walking, jumping, VFX effects. 3. Rig of characters and objects, complex bone connections, masks and skins, work optimization. 3. 12 principles of animation"
2D Animator,Intermediate,6.0,"Participated in the successful launch of 5 games I'm a 2d animator. I create advanced rigs for 2D characters utilizing Spine (esoteric software), Adobe Photoshop and Adobe After Effects. Animation is my passion and I'm always learning new stuff that help me improve on what I do. My ability to create character animation is the best way to realize myself.",Participated in the successful launch of 5 games,My ability to create character animation is the best way to realize myself.,"I'm a 2d animator. I create advanced rigs for 2D characters utilizing Spine (esoteric software), Adobe Photoshop and Adobe After Effects. Animation is my passion and I'm always learning new stuff that help me improve on what I do."
2D Animator,Intermediate,1.5,"2d Character animation, UI animation for different game styles such as casual games,2d platformer, card games, casino.I worked as a freelancer, so I encountered different projects, which diversified my skills in 2d animation.",Not stated,Not stated,"2d Character animation, UI animation for different game styles such as casual games,2d platformer, card games, casino.I worked as a freelancer, so I encountered different projects, which diversified my skills in 2d animation."
2D Animator,Not stated,1.0,"Gained skills in creating 2D animation from scratch Performed tasks in a timely and high-quality manner within the established deadlines Developed creative thinking, ability to think outside the box Learned how to create animation by exploring new ways to use the programme Received a certificate confirming my knowledge and skills in 2D animation and Spine software Hello! I'm a 2D animator who has successfully completed the Spine 2D animation course from ArtCraft, an international school of computer graphics and drawing. I learnt the basics of Spine, such as rigging, skins, forward and reverse kinematics, creating skeletal animation using textures and animation keys, working with timelines and setting the number of frames per second, etc. I can export animations from Spine to various formats according to the technical specifications. I have been working as a freelancer for almost a year now, including for a foreign company. I have experience with character animation, slot animation, environment animation, and effects in Spine. I am a team player and interested in the overall result. I know how to work with psd files from artists, I can convey my opinion and teach how to prepare files for animation if artists have no idea how to do it. I understand that the main thing is optimisation. I used such software as Slack, Jira, Google Drive, and Google Meet to communicate and organise work with the team. I also had experience of working with the Scrum methodology. I took part in brainstorming sessions on ideas for creating new games. My goal is to get into a Ukrainian company to work and develop steadily with a team of professionals! I am ready for the terms of reference, new challenges and projects!","Gained skills in creating 2D animation from scratch Performed tasks in a timely and high-quality manner within the established deadlines Developed creative thinking, ability to think outside the box Learned how to create animation by exploring new ways to use the programme Received a certificate confirming my knowledge and skills in 2D animation and Spine software",Not stated,"Hello! I'm a 2D animator who has successfully completed the Spine 2D animation course from ArtCraft, an international school of computer graphics and drawing. I learnt the basics of Spine, such as rigging, skins, forward and reverse kinematics, creating skeletal animation using textures and animation keys, working with timelines and setting the number of frames per second, etc. I can export animations from Spine to various formats according to the technical specifications. I have been working as a freelancer for almost a year now, including for a foreign company. I have experience with character animation, slot animation, environment animation, and effects in Spine. I am a team player and interested in the overall result. I know how to work with psd files from artists, I can convey my opinion and teach how to prepare files for animation if artists have no idea how to do it. I understand that the main thing is optimisation. I used such software as Slack, Jira, Google Drive, and Google Meet to communicate and organise work with the team. I also had experience of working with the Scrum methodology. I took part in brainstorming sessions on ideas for creating new games. My goal is to get into a Ukrainian company to work and develop steadily with a team of professionals! I am ready for the terms of reference, new challenges and projects!"
2D Animator,Advanced,1.0,"Able to work independently and in a team. My main tasks are the preparation of PSD, an animation of characters, an objects and elements of environment. I have good knowledge of anatomy. Animating characters and environment Working with PSD part of UI animation Freelance work 01.11.21-now NFT animation Characters animation I can show my portfolio on demand",Not stated,Not stated,"Able to work independently and in a team. My main tasks are the preparation of PSD, an animation of characters, an objects and elements of environment. I have good knowledge of anatomy. Animating characters and environment Working with PSD part of UI animation Freelance work 01.11.21-now NFT animation Characters animation I can show my portfolio on demand"
2D Animator,Intermediate,5.0,"In this position, I had the opportunity to work on an exciting project - creating animations for the upcoming card game ""Ancient Gods."" During this process, I played a key role in the development and bringing to life of over 100 unique animated characters. With my artistic vision and technical skills, I gave each character their own personality, movements, facial expressions, and interactions with the environment, helping to create a vibrant and expressive game world. Additionally, within this project, I also contributed to the creation of a range of assets for other projects, including gameplay elements, special effects, and other important animation resources. My work involved ensuring that each animation element was created with great attention to detail and aligned with the requirements and vision of the developers. Throughout the entire development process, I actively collaborated with designers, artists, and other team members, exchanging ideas and receiving feedback. My goal was to ensure that each animation was seamlessly integrated into the game, served its purpose, and created a unique experience for players. The result of my work was the creation of a significant number of unique and visually appealing animations, delivering high-quality and detailed representation of characters and gameplay elements.",Not stated,Not stated,"In this position, I had the opportunity to work on an exciting project - creating animations for the upcoming card game ""Ancient Gods."" During this process, I played a key role in the development and bringing to life of over 100 unique animated characters. With my artistic vision and technical skills, I gave each character their own personality, movements, facial expressions, and interactions with the environment, helping to create a vibrant and expressive game world. Additionally, within this project, I also contributed to the creation of a range of assets for other projects, including gameplay elements, special effects, and other important animation resources. My work involved ensuring that each animation element was created with great attention to detail and aligned with the requirements and vision of the developers. Throughout the entire development process, I actively collaborated with designers, artists, and other team members, exchanging ideas and receiving feedback. My goal was to ensure that each animation was seamlessly integrated into the game, served its purpose, and created a unique experience for players. The result of my work was the creation of a significant number of unique and visually appealing animations, delivering high-quality and detailed representation of characters and gameplay elements."
2D Animator,Intermediate,0.5,"I've successfully graduated from Spine courses where I've been studying for three months. I learned a lot about fundamental animation principles which i use in daily work. I know how to do character rigging. Also, I create common and portrait animation, emotion change animation, UI animation and animation of game area. Besides, I've experience creating 2D animation and character animation in After Effects.",Not stated,Not stated,"I've successfully graduated from Spine courses where I've been studying for three months. I learned a lot about fundamental animation principles which i use in daily work. I know how to do character rigging. Also, I create common and portrait animation, emotion change animation, UI animation and animation of game area. Besides, I've experience creating 2D animation and character animation in After Effects."
2D Animator,Intermediate,2.0,2D Animator/Motion Designer with 3 years of experience and comprehensive history of creating animated content. Now I am seeking to deliver the best animation for your business. Now I'm looking for: - a new experience in animation; - competitive salary; - friendly team.,Not stated,Now I'm looking for: - a new experience in animation; - competitive salary; - friendly team.,2D Animator/Motion Designer with 3 years of experience and comprehensive history of creating animated content. Now I am seeking to deliver the best animation for your business.
2D Animator,Intermediate,2.0,"• Team Deploy – March 2022 - May 2023 Position: Spine 2d animator • Creating character, feature, dialogues, VFX animation in SPINE • Rigging and skinning • Creating animation in Adobe AE • Working with Particle Editors such as TrapCode, Pixi Particle, Particle Illusion to create VFX • Freelance – April 2021 - March 2022 Position: Spine 2d animator • Creation of high-quality 2d animations according to the wishes of the customer",Not stated,Not stated,"• Team Deploy – March 2022 - May 2023 Position: Spine 2d animator • Creating character, feature, dialogues, VFX animation in SPINE • Rigging and skinning • Creating animation in Adobe AE • Working with Particle Editors such as TrapCode, Pixi Particle, Particle Illusion to create VFX • Freelance – April 2021 - March 2022 Position: Spine 2d animator • Creation of high-quality 2d animations according to the wishes of the customer"
2D Animator,Not stated,10.0,"Mannor Matters For more than 10 years I have been making high-quality animations for games. I am a good team player, but I can also work effectively independently. - animation of complex objects on the meta; - character animation in Spine; - integration of animations into the engine; - animation effects for the game; - teaching people; - communication with artists, writing technical tasks; - people management I want to find interesting creative work in game animation and work on cool projects. I have more experience with animating characters and various objects than with effects, but I am a quick learner and ready for complex tasks",Mannor Matters,"I want to find interesting creative work in game animation and work on cool projects. I have more experience with animating characters and various objects than with effects, but I am a quick learner and ready for complex tasks","For more than 10 years I have been making high-quality animations for games. I am a good team player, but I can also work effectively independently. - animation of complex objects on the meta; - character animation in Spine; - integration of animations into the engine; - animation effects for the game; - teaching people; - communication with artists, writing technical tasks; - people management"
2D Animator,Advanced,6.0,"Private Entrepreneur Lead Technical artist Senior 2d animator May 2022 - Present Leading Technical and Visual fields of projects. Leading VFX teams - responsible for quality from artistic and technical parts of view, feedbacks. Leading 2d animators team - writing pipelines, supervising level of quality on every step of production. Management of projects - creating and integrating pipeline to get best results for projects and tasks. Working with lighting, post processing. Understanding of Unity's Rendering Pipelines (URP) - Shader Graph and post processing effects. Creating complex Particle systems, skyboxes. Implementing and adjusting VFX, shaders. Optimization of game assets. Creating animations in Spine 2d and Unity - Characters, UI, etc. Implementation of UI, that can be adjusted to any screen size. Freelance 2d animator | Technical artist Jan 2021 - May 2022 Creating animation in Spine 2d and Unity SFX artist, creating complex Particle systems Implementation of animations and UI in Unity Preparing, optimization art for animation and UI 2d animator | Technical artist Playrix Playrix Project Fishdom May 2019 - Dec 2020 Creating animation of characters and items Animating Match3 elements Mentorship for Technical artists Writing feedback to animators Preparing, cutting, optimization art for animation 2d artist | 2d animator Catalyst apps Site Projects PetCity& PetBuddies Feb 2017 - May 2019 Develop items for games in Adobe Animate and Illustrator, such as characters, interior and exterior items. Creating animations in Adobe Animate: Idle, Smart animations Optimization assets Implementing animations into Unity I like challenges and solving problems. So from any job I expect interesting project where talented people creating magic but not the complete copy of existing game. I love to improve things, processes, pipelines and help project development to go smooth and in creative way to build amazing experience for players.",Not stated,"I like challenges and solving problems. So from any job I expect interesting project where talented people creating magic but not the complete copy of existing game. I love to improve things, processes, pipelines and help project development to go smooth and in creative way to build amazing experience for players.","Private Entrepreneur Lead Technical artist Senior 2d animator May 2022 - Present Leading Technical and Visual fields of projects. Leading VFX teams - responsible for quality from artistic and technical parts of view, feedbacks. Leading 2d animators team - writing pipelines, supervising level of quality on every step of production. Management of projects - creating and integrating pipeline to get best results for projects and tasks. Working with lighting, post processing. Understanding of Unity's Rendering Pipelines (URP) - Shader Graph and post processing effects. Creating complex Particle systems, skyboxes. Implementing and adjusting VFX, shaders. Optimization of game assets. Creating animations in Spine 2d and Unity - Characters, UI, etc. Implementation of UI, that can be adjusted to any screen size. Freelance 2d animator | Technical artist Jan 2021 - May 2022 Creating animation in Spine 2d and Unity SFX artist, creating complex Particle systems Implementation of animations and UI in Unity Preparing, optimization art for animation and UI 2d animator | Technical artist Playrix Playrix Project Fishdom May 2019 - Dec 2020 Creating animation of characters and items Animating Match3 elements Mentorship for Technical artists Writing feedback to animators Preparing, cutting, optimization art for animation 2d artist | 2d animator Catalyst apps Site Projects PetCity& PetBuddies Feb 2017 - May 2019 Develop items for games in Adobe Animate and Illustrator, such as characters, interior and exterior items. Creating animations in Adobe Animate: Idle, Smart animations Optimization assets Implementing animations into Unity"
2D Animator,Not stated,2.5,"Fast learning, eager to innovate. Broad experience: I have both the technical education and art work experience, which allows me to communicate with both the developers and artists easily and to fluently switch between technical and animation tasks. 2.5 years of 2d animation and integration of art assets into custom Cocos-based engine, for casual mobile game. Among the responsibilities were: - UI animation in After Effects, - Character animation in Spine, - Vfx animation in particles editor, - Bitmap fonts preparation, - Graphics optimization ( mostly RAM usage minimization) - Packing textures into atlases, - Development of logical structure of projects, providing block-schemes for developers in Miro. - Scripting for After Effects. 2016-2018 Freelance graphical Designer My intention is to grow both artistically and technically as animator or technical designer, to become a part of strong team, aimed on producing quality content and constantly improving the workflow. Realistically, my skill set and experience suits 2D casual mobile projects the most, though I am open to all gaming propositions. Test assignments are welcome.","Fast learning, eager to innovate. Broad experience: I have both the technical education and art work experience, which allows me to communicate with both the developers and artists easily and to fluently switch between technical and animation tasks.","My intention is to grow both artistically and technically as animator or technical designer, to become a part of strong team, aimed on producing quality content and constantly improving the workflow. Realistically, my skill set and experience suits 2D casual mobile projects the most, though I am open to all gaming propositions. Test assignments are welcome.","2.5 years of 2d animation and integration of art assets into custom Cocos-based engine, for casual mobile game. Among the responsibilities were: - UI animation in After Effects, - Character animation in Spine, - Vfx animation in particles editor, - Bitmap fonts preparation, - Graphics optimization ( mostly RAM usage minimization) - Packing textures into atlases, - Development of logical structure of projects, providing block-schemes for developers in Miro. - Scripting for After Effects. 2016-2018 Freelance graphical Designer"
2D Animator,Intermediate,5.0,"I can create various types of animations in Unity, including character animations, UI animations, Spine animations, and Unity VFX animations I am searching for a team that creates captivating and innovative games. I am keen on platformers and various types of RPGs, and I would be glad to work on animations that involve fighting movements or special effects.",Not stated,Not stated,"I can create various types of animations in Unity, including character animations, UI animations, Spine animations, and Unity VFX animations I am searching for a team that creates captivating and innovative games. I am keen on platformers and various types of RPGs, and I would be glad to work on animations that involve fighting movements or special effects."
2D Animator,Not stated,4.0,"I am a 2D animator, motion designer, and visual composer. Motion Array - Creator of motion graphics templates for Adobe After Effects (1.5 years) - Animated titles; - Animated templates for Instagram stories; - Video presentation templates. OnContent - Visual Composer (6 months) - Animated graphics for stage screens; - Rotoscoping; - Keying. Freelance Animator (Upwork) (3.5 years) - Motion Graphics; - Animated explainer videos; - Rotoscoping; - Keying. Urmobi - Unity Animator (2 years) - Game objects animation; - Characters animation; - UI animation; - VFX; - Shader animation; - Animated creatives for mobile games.",Not stated,Not stated,"I am a 2D animator, motion designer, and visual composer. Motion Array - Creator of motion graphics templates for Adobe After Effects (1.5 years) - Animated titles; - Animated templates for Instagram stories; - Video presentation templates. OnContent - Visual Composer (6 months) - Animated graphics for stage screens; - Rotoscoping; - Keying. Freelance Animator (Upwork) (3.5 years) - Motion Graphics; - Animated explainer videos; - Rotoscoping; - Keying. Urmobi - Unity Animator (2 years) - Game objects animation; - Characters animation; - UI animation; - VFX; - Shader animation; - Animated creatives for mobile games."
